belief,budget,policy,policy_config,cost_aware,room_change_cost,task_accuracy,accuracy_vs_c0,senses_per_question,senses_vs_c0,cost_per_question,same_room_sense_fraction,forced_answer_rate
PerpetuaStar,90,ResolvableMassSense,ResolvableMassSense_best,False,0.25,0.661733,-0.018845,0.861022,-0.129334,0.994556,0.379652,0.231956
PerpetuaStar,90,ResolvableMassSense,ResolvableMassSense_best,False,0.5,0.648444,-0.032134,0.762044,-0.228312,0.9976,0.38178,0.177689
PerpetuaStar,90,ResolvableMassSense,ResolvableMassSense_best,False,1,0.627644,-0.052934,0.618133,-0.372223,0.999867,0.382442,0.024578
PerpetuaStar,90,ResolvableMassSense,ResolvableMassSense_best,False,2,0.612089,-0.068489,0.4516,-0.538756,0.999956,0.392875,0.065733
PerpetuaStar,90,VoIThresholdSense,VoIThresholdSense_lambda0.05,True,0,0.716711,0.0,0.839556,0.0,0.839556,0.369931,0.0
PerpetuaStar,90,VoIThresholdSense,VoIThresholdSense_lambda0.05,True,0.25,0.710356,-0.006355,0.783644,-0.055912,0.870367,0.557339,0.044222
PerpetuaStar,90,VoIThresholdSense,VoIThresholdSense_lambda0.05,True,0.5,0.708844,-0.007867,0.734089,-0.105467,0.887578,0.581825,0.025644
PerpetuaStar,90,VoIThresholdSense,VoIThresholdSense_lambda0.05,True,1,0.697289,-0.019422,0.658889,-0.180667,0.914222,0.612479,0.005333
PerpetuaStar,90,VoIThresholdSense,VoIThresholdSense_lambda0.05,True,2,0.684222,-0.032489,0.5604,-0.279156,0.939689,0.661591,0.012933
PerpetuaStar,90,VoIBudgetPriceSense,VoIBudgetPriceSense_gamma0.1,True,0,0.7072,0.0,0.988222,0.0,0.988222,0.387407,0.0
PerpetuaStar,90,VoIBudgetPriceSense,VoIBudgetPriceSense_gamma0.1,True,0.25,0.694978,-0.012222,0.874,-0.114222,0.972011,0.551437,0.117289
PerpetuaStar,90,VoIBudgetPriceSense,VoIBudgetPriceSense_gamma0.1,True,0.5,0.667733,-0.039467,0.812756,-0.175466,0.994133,0.553672,0.173422
PerpetuaStar,90,VoIBudgetPriceSense,VoIBudgetPriceSense_gamma0.1,True,1,0.647333,-0.059867,0.695156,-0.293066,0.999333,0.562432,0.0144
PerpetuaStar,90,VoIBudgetPriceSense,VoIBudgetPriceSense_gamma0.1,True,2,0.626667,-0.080533,0.547022,-0.4412,0.999911,0.586042,0.028178
OracleBelief,24,NeverSense,NeverSense,False,0,0.758089,0.0,0.0,0.0,0.0,,0.0
OracleBelief,24,NeverSense,NeverSense,False,0.25,0.758089,0.0,0.0,0.0,0.0,,0.0
OracleBelief,24,NeverSense,NeverSense,False,0.5,0.758089,0.0,0.0,0.0,0.0,,0.0
OracleBelief,24,NeverSense,NeverSense,False,1,0.758089,0.0,0.0,0.0,0.0,,0.0
OracleBelief,24,NeverSense,NeverSense,False,2,0.758089,0.0,0.0,0.0,0.0,,0.0
OracleBelief,24,SequentialSearch,SequentialSearch,False,0,0.755422,0.0,0.266667,0.0,0.266667,0.368167,0.0
OracleBelief,24,SequentialSearch,SequentialSearch,False,0.25,0.752844,-0.002578,0.227511,-0.039156,0.262989,0.376245,0.576844
OracleBelief,24,SequentialSearch,SequentialSearch,False,0.5,0.752178,-0.003244,0.202222,-0.064445,0.264511,0.383956,0.370356
OracleBelief,24,SequentialSearch,SequentialSearch,False,1,0.754356,-0.001066,0.165822,-0.100845,0.266667,0.391852,0.038667
OracleBelief,24,SequentialSearch,SequentialSearch,False,2,0.750978,-0.004444,0.125156,-0.141511,0.266667,0.434659,0.076444
OracleBelief,24,ResolvableMassSense,ResolvableMassSense_best,False,0,0.758089,0.0,0.0,0.0,0.0,,0.0
