budget,belief,policy,day_index,n_questions,task_accuracy,belief_accuracy
16,most_frequent,sequential_search,4,90,0.8333333333333334,0.8065359477124183
16,most_frequent,sequential_search,5,90,0.7,0.7091503267973857
16,most_frequent,sequential_search,6,90,0.9555555555555556,0.9392156862745098
16,most_frequent,sequential_search,7,90,0.8222222222222222,0.8241830065359477
16,most_frequent,sequential_search,8,90,0.7666666666666667,0.7627450980392156
16,most_frequent,sequential_search,9,90,0.7,0.6849673202614379
16,most_frequent,sequential_search,10,90,0.8111111111111111,0.7816993464052288
16,most_frequent,sequential_search,11,90,0.7333333333333333,0.7091503267973857
16,most_frequent,sequential_search,12,90,0.6666666666666666,0.6450980392156863
16,most_frequent,sequential_search,13,90,0.7111111111111111,0.7111111111111111
16,most_frequent,sequential_search,14,90,0.7777777777777778,0.7934640522875817
16,most_frequent,sequential_search,15,90,0.8333333333333334,0.8529411764705882
16,most_frequent,sequential_search,16,90,0.8333333333333334,0.8202614379084967
16,most_frequent,sequential_search,17,90,0.7888888888888889,0.792156862745098
16,most_frequent,sequential_search,18,90,0.8,0.7352941176470589
16,most_frequent,sequential_search,19,90,0.8,0.7509803921568627
16,most_frequent,sequential_search,20,90,0.9333333333333333,0.8973856209150327
16,most_frequent,sequential_search,21,90,0.8444444444444444,0.8483660130718954
16,most_frequent,sequential_search,22,90,0.6111111111111112,0.5620915032679739
16,most_frequent,sequential_search,23,90,0.7111111111111111,0.6934640522875817
16,most_frequent,sequential_search,24,90,0.8,0.761437908496732
16,most_frequent,sequential_search,25,90,0.7777777777777778,0.7862745098039216
16,most_frequent,sequential_search,26,90,0.8222222222222222,0.7849673202614379
16,most_frequent,sequential_search,27,90,0.6444444444444445,0.703921568627451
16,timetable,sequential_search,3,90,0.6444444444444445,0.6392156862745098
16,timetable,sequential_search,4,90,0.8333333333333334,0.8261437908496732
16,timetable,sequential_search,5,90,0.6555555555555556,0.6392156862745098
16,timetable,sequential_search,6,90,0.9444444444444444,0.9333333333333333
16,timetable,sequential_search,7,90,0.8444444444444444,0.8771241830065359
16,timetable,sequential_search,8,90,0.7888888888888889,0.7928104575163398
16,timetable,sequential_search,9,90,0.7444444444444445,0.7326797385620915
16,timetable,sequential_search,10,90,0.7222222222222222,0.7490196078431373
16,timetable,sequential_search,11,90,0.7111111111111111,0.6803921568627451
16,timetable,sequential_search,12,90,0.6444444444444445,0.6163398692810458
16,timetable,sequential_search,13,90,0.8111111111111111,0.7856209150326797
16,timetable,sequential_search,14,90,0.8777777777777778,0.8816993464052287
16,timetable,sequential_search,15,90,0.8555555555555555,0.8503267973856209
16,timetable,sequential_search,16,90,0.8333333333333334,0.8209150326797385
16,timetable,sequential_search,17,90,0.7777777777777778,0.7666666666666667
16,timetable,sequential_search,18,90,0.7555555555555555,0.6568627450980392
16,timetable,sequential_search,19,90,0.8222222222222222,0.777124183006536
16,timetable,sequential_search,20,90,0.8444444444444444,0.8379084967320262
16,timetable,sequential_search,21,90,0.7888888888888889,0.788235294117647
16,timetable,sequential_search,22,90,0.5666666666666667,0.538562091503268
16,timetable,sequential_search,23,90,0.8333333333333334,0.803921568627451
16,timetable,sequential_search,24,90,0.7888888888888889,0.8065359477124183
16,timetable,sequential_search,25,90,0.6555555555555556,0.6967320261437908
16,timetable,sequential_search,26,90,0.6555555555555556,0.6163398692810458
16,timetable,sequential_search,27,90,0.7222222222222222,0.7405228758169935
