belief,policy,mode,alpha,tau,gamma,feedback,n_households,n_questions,task_accuracy,belief_accuracy,mean_budget,mean_budget_per_day,forced_answer_rate,budget_per_day,qhat_global,budget,sweep
"TimetableLookup(bin=1h,days=all,hl=24h)","ResolvableMassSense(alpha=0.2,tau=0.6,global)",resolvable,0.2,0.6,,,10,22500,0.581733,0.555779,0.266667,24.0,0.0,24,0.998084,24,budget24
"TimetableLookup(bin=1h,days=all,hl=24h)","ResolvableMassSense(alpha=0.2,tau=0.8,global)",resolvable,0.2,0.8,,,10,22500,0.582489,0.555619,0.266667,24.0,0.0,24,0.998084,24,budget24
"TimetableLookup(bin=1h,days=all,hl=24h)","ResolvableMassSense(alpha=0.3,tau=0.2,global)",resolvable,0.3,0.2,,,10,22500,0.578622,0.555427,0.266667,24.0,0.0,24,0.988570,24,budget24
"TimetableLookup(bin=1h,days=all,hl=24h)","ResolvableMassSense(alpha=0.3,tau=0.4,global)",resolvable,0.3,0.4,,,10,22500,0.580756,0.556586,0.266667,24.0,0.0,24,0.988570,24,budget24
"TimetableLookup(bin=1h,days=all,hl=24h)","ResolvableMassSense(alpha=0.3,tau=0.6,global)",resolvable,0.3,0.6,,,10,22500,0.583111,0.555773,0.266667,24.0,0.0,24,0.988570,24,budget24
"TimetableLookup(bin=1h,days=all,hl=24h)","ResolvableMassSense(alpha=0.3,tau=0.8,global)",resolvable,0.3,0.8,,,10,22500,0.579244,0.551608,0.266667,24.0,0.0,24,0.988570,24,budget24
"TimetableLookup(bin=1h,days=all,hl=24h)","ResolvableMassSense(alpha=0.4,tau=0.2,global)",resolvable,0.4,0.2,,,10,22500,0.554356,0.532958,0.092978,8.368,0.0,24,0.758147,24,budget24
"TimetableLookup(bin=1h,days=all,hl=24h)","ResolvableMassSense(alpha=0.4,tau=0.4,global)",resolvable,0.4,0.4,,,10,22500,0.554444,0.532954,0.092978,8.368,0.0,24,0.758147,24,budget24
"TimetableLookup(bin=1h,days=all,hl=24h)","ResolvableMassSense(alpha=0.4,tau=0.6,global)",resolvable,0.4,0.6,,,10,22500,0.554222,0.532921,0.092356,8.312,0.0,24,0.758147,24,budget24
"TimetableLookup(bin=1h,days=all,hl=24h)","ResolvableMassSense(alpha=0.4,tau=0.8,global)",resolvable,0.4,0.8,,,10,22500,0.551733,0.532585,0.082711,7.444,0.0,24,0.758147,24,budget24
"TimetableLookup(bin=1h,days=all,hl=24h)","ACISense(alpha=0.3,gamma=0,oracle)",aci_static,0.3,,0.0,oracle,10,22500,0.5764,0.554921,0.266667,24.0,0.0,24,0.988570,24,budget24
"TimetableLookup(bin=1h,days=all,hl=24h)","ACISense(alpha=0.3,gamma=0.01,oracle)",aci_oracle,0.3,,0.01,oracle,10,22500,0.5776,0.550581,0.258578,23.272,0.0,24,0.988570,24,budget24
"TimetableLookup(bin=1h,days=all,hl=24h)","ACISense(alpha=0.3,gamma=0.01,sensed)",aci_sensed,0.3,,0.01,sensed,10,22500,0.545911,0.532645,0.092311,8.308,0.0,24,0.988570,24,budget24
"TimetableLookup(bin=1h,days=all,hl=24h)","ACISense(alpha=0.3,gamma=0.05,oracle)",aci_oracle,0.3,,0.05,oracle,10,22500,0.573911,0.549891,0.263467,23.712,0.0,24,0.988570,24,budget24
"TimetableLookup(bin=1h,days=all,hl=24h)","ACISense(alpha=0.3,gamma=0.05,sensed)",aci_sensed,0.3,,0.05,sensed,10,22500,0.550267,0.536496,0.061067,5.496,0.0,24,0.988570,24,budget24
"TimetableLookup(bin=1h,days=all,hl=24h)","ACISense(alpha=0.3,gamma=0.1,oracle)",aci_oracle,0.3,,0.1,oracle,10,22500,0.574,0.550121,0.266578,23.992,0.0,24,0.988570,24,budget24
