household,protocol,method,perm,n_days,draw,accuracy,accuracy_moved_only
B,E1,persistence,1,4,,0.8773109243697479,
B,E1,modal,1,4,,0.924969987995198,
B,E1,frequency,1,4,,0.9451380552220888,
B,E1,markov,1,4,,0.9336134453781513,
B,E1,pooled,1,4,,0.9333733493397359,
B,E1,fremen,1,4,,0.9368547418967587,
B,E2,fallback,1,4,0,0.961764705882353,0.0
B,E2,pooled,1,4,0,0.5,0.0
B,E2,fallback,1,4,1,0.9294117647058824,0.0
B,E2,pooled,1,4,1,0.9294117647058824,0.0
B,E2,fallback,1,4,2,0.9323529411764706,0.0
B,E2,pooled,1,4,2,0.9323529411764706,0.0
